name,total_volume_sold,total_volume_unsold
AUT TO SPR PLT,11,7
CHCKN & RWINE C,242,182
SEMI 2 PTS,382,249
CIABATTA STICKS,2104,1499
TRPL COOK CHIPS,605,417
BIANCOLI TSB SF,17,13
PASTA ARRABIATT,74,50
SMPLY MIXED X15,23,15
4 YKSHIRE PUDDS,93,59
10 MINI LOBSTER,210,147
COU TUNA&CU SW,41,25
O/B SUPREME,510,374
CREAM TOMATO SP,47,34
CARRT/POT/SWEDE,717,491
DI TSB SPEARS,238,159
C.RELLA P.KIN,6,3
SOFT APRICOTS,6,5
MED CUMBLND PIE,1189,913
DI ULT MASH,138,101
SWT ROSSO TOMS,32,27
RICOTTA RAVIOLI,13,10
BL186 CKD TURK,13,5
2 GARLIC BAGTTS,1123,817
BRIE & GRAPE SW,421,193
CHKN CASSRLE X1,1131,828
PARSNIP BAG,321,238
6 MM PORK PIES,1444,1110
6 GRLC & CHS SL,1485,1053
UNSMK OB BR STR,21,18
STEAK & MASH X1,1138,889
BEEF LASAGNE,1420,1071
*EW SW SELECTIO,93,46
DI POTATO ROSTI,73,51
CHCKN AVO SW,257,160
IRL 2.5KG MAR P,45,27
C&S CRUSH 300G,589,416
APP GALA LOOSE,61,2
MISSISSIPPI PIE,31,24
SCOTTISH SEMI 4,31,22
BUBBLE & SQUEAK,887,715
PURE PINEAPPLE,86,66
GBF MNG P A O M,16,8
PEPEROMIA GLASS,8,3
CHILLI  SEABASS,8,7
COTTAGE PIE X1,1500,1099
MACARONI CHEESE,2413,1816
BF & CAULI PIE,785,639
EGG FRIED RICE,1716,1316
PK041 GUIN FWL,9,1
PK030 OAKCN PC,9,2
*EW PRAWN MAY,471,258
POTATO DAUPHINO,601,489
SPR MORNING BQ,19,16
F/R EGGS X12,78,63
FISH PIE X1,1661,1289
RSTED VEG STFG,60,29
HYACINTH MIX,30,26
PK034 OAK CRWN,10,2
CRISPY TEMPURA,72,65
CASSEROLE VEG2,125,86
MF COTTAGE PIE,63,52
9 SB CHS & TOM,644,510
BRC & STILTON S,208,163
SCOT VERY LGE,11,6
SCOT ORG LGE X6,11,9
9 AFTRNN FAIRY,11,10
CHK & MSHRM SP,259,202
