upc,name,total_volume_sold,total_value_sold,total_volume_unsold,total_value_unsold
70553,MW SAUS RLLS,28,84,40,120
71406,SPR BROC/SPIN S,604,1513.3,571,1429.1
71604,NAS CRAN & RASP,5,8,3,5.4
71635,BUNNY/BOBTAIL,51,25.5,0,0
72250,PURE PINEAPPLE,9,18,15,30
72700,SEMI 2 LTR,7,9.08,11,13.96
72731,GSE FAT RST POT,232,770.5,201,672.5
72762,HNY PARSNP 600G,5,20,21,84
72915,WHOLE 2LTRS,1,1.22,5,6.1
73165,300ML DBL CRM,0,0,1,1.25
73462,COU VEG MELT,120,360.4,139,417
73554,BFY CHK CBONARA,437,1748.75,737,2949
73592,BFY CRGETTI CHK,124,496.25,215,860
73677,BFY TIKKA CHKN,120,480,185,740
73936,FLV PLUM,9,20.7,4,9.1
74438,FRESH BRILL,3,44.21,15,275.57
74445,SOUTH COAST HAK,4,28.85,5,37.92
74469,S/C LEMON SOLE,4,39.04,7,69.15
74575,WILD SALMON,0,0,25,112.5
74957,C.BEEF C/B,779,1324.3,632,1074.4
75398,COURGETTE SPAGH,37,46.25,62,77.5
75404,B.NUT NOODLES,31,38.75,56,70
75442,LENTIL/WILD RC,25,55,92,202.4
75459,MED ORZO SALAD,21,46.2,30,66
75473,SUPERGREEN SLD,76,167.2,67,147.4
75978,150ML DBLE CRM,2,1.2,2,1.6
76104,ROSEMARY POT,8,12,33,49.7
76111,300ML WHP CRM,5,5.5,6,6.9
76517,BANANA & BERRY,0,0,2,4
76579,PURELY ORG & ME,2,3.6,4,7.2
76647,MNG P APP & ORG,20,40,20,40
77576,SEMI 1LTR,10,7.71,11,8.55
78597,150ML WHP CRM,1,0.6,0,0
78726,RSTD VEG & AVO,1,2.5,0,0
78948,NO BITS FS OJ,126,190.5,93,140.9
79112,HOISIN DUCK NDL,82,348.5,144,612
79129,S&S CRISPY CHK,72,360,123,615
81498,DI PUFF APPLE,328,986,246,738
82372,MILLIONAIRE MB,103,268.2,71,184.6
82396,U/S GAMM 750G,15,56.25,54,202.8
82419,SLTD CRML POPC,11,28.6,1,2.6
82501,SMK GAMM 750G,5,18.8,42,157.95
82624,APP/CI S.SEEDS,1,0.1,0,0
82686,CH/LM/CNUT SEED,9,0.9,0,0
82723,NECTARINES,62,138.5,26,59.1
82761,BOMBAY S.SEEDS,10,1,0,0
83089,AEROSOL CREAM,8,12,9,13.5
83119,P/BN S.SEED,17,1.7,3,0.3
83218,TRKY 2%FAT MNCE,32,102.5,135,434
83249,TRKY S/LESS FIL,27,88,75,244.5
83744,PORK SAUS 1LB,220,374,355,603.5
84215,BLACK PUDDING,554,692.5,631,788.75
84659,36 C/TAIL SAUS,6,18,6,18
84925,SKINNY B/BUR 3%,49,196.25,97,388
85236,PREMIUM 1LB,253,718.8,314,890.92
85793,150G COVE MATUR,8,16,0,0
85915,GRTD EXMAT COVE,2,4.2,1,3
86974,GBF TRAD C/SLAW,12,15,2,2.5
87445,DI PEAS & CARRT,1,2.4,0,0
87469,DI PANTOFOLA,77,205.15,101,271.7
87544,DI LASAGNE,63,378,74,445.5
88299,SAGE/ONION,20,60.2,61,183
88978,DRKNG COCONUT,3,7.5,0,0
89425,COU COTTAGE PIE,244,733.7,372,1121.1
89456,MACK BEECH SMK,123,369.2,195,585.2
89463,MACK SMK PEPP,85,255,152,456.4
89579,CUCUMBER AVOCA,0,0,2,4.6
89609,MW COCONUT YOG,1,2.8,1,2.75
89623,PEACH COBBLER,41,30.75,74,55.5
89715,C HALLO KEBS,2,8.5,10,42.5
90056,VEG SPRING ROLL,649,1624.31,677,1694.46
90162,BEEF CASSEROLE,321,1059.5,440,1452.4
90353,4 BLUEBRRY PCAK,2,3.2,5,8
90414,MILLERS WHLMEAL,10,13,5,6.5
90476,UT MOZ&PESTO,358,1075.7,363,1089
90476,WF MOZZ & ROCKT,284,980.8,517,1776
90483,UT SLMI FIRENZE,54,162,94,282
90483,WF SLMI FIRENZE,45,154,104,356
90889,9 MN FRT TRTS,20,95,14,66.5
91244,VEG LASAGNE,573,1719,776,2334
91411,WOODLAND M/RMS,194,242.65,189,236.3
91954,COTTAGE PIE ML,606,1515,586,1465
92517,TEMPURA PRAWNS,45,225,133,665.5
92531,BEEF ROAST JT,13,142.75,75,877.62
92999,GER HAM W/T,4,10,24,60
93026,PROSCIUTTO AROS,12,60.5,20,100
93057,PROSCIUTTO 30 M,4,28,6,42
93095,HRB QU FET SLD,5,11,4,8.8
93378,EGG BACON SIDE,14,35,6,15
93538,HAM & MACH ROLL,5,16.55,7,22.75
93699,DNKY HC SAUS RL,82,177.3,179,401.6
93897,MW SPAG BOLGNSE,61,213.5,189,661.5
93903,MW MAC CHEESE,88,308,161,563.5
93910,MW BEEF LASAGNE,94,329.6,185,647.9
93965,COCKLES COOKED,18,72.25,61,244.5
94108,CHK RST SMKHS,50,150.2,66,198
94122,JA CHILLI BEEF,11,30.8,31,86.8
94269,CASSEROLE VEG2,288,288,379,379
94313,SEABASS KALA BU,112,586,95,495.75
94634,MW STEAK PIE,29,101.5,104,364
94702,DIRTY FRIES,174,522.6,307,922.4
94887,MW 2 CHOC PDDGS,26,65,85,212.5
94900,MANGO,0,0,1,1
94917,MW 2 SYRUP PDDS,43,107.5,111,277.5
94924,MW APPLE PIE,34,119,85,297.5
95044,EGG & HAM,4,14,7,24.5
95051,CUT RST DIN MIX,33,33.05,57,57.1
95280,PURELY  WATERME,4,12,7,20.5
95310,FTO ANTIPASTI C,1,15,1,15
96225,MW NY CHSCAKE,117,409.5,359,1256.7
96249,MW SPAG CARBNRA,81,283.5,199,696.5
96485,ORG B/BERRIES,2,6,1,3
96737,PSNFRUIT JELLY,2,2.5,8,10
97604,4 ULT BURGER BU,8,15.2,14,26.6
97697,SANTINI VINE,4,10.1,1,2.5
