upc,name,total_volume_sold,total_value_sold,total_volume_unsold,total_value_unsold
278461,EX LGE COTTAGE,105,630,252,1512
279598,DIP TEX MEX SE,101,252.9,173,433.9
279918,TRIM SUGERSNAP,257,500,227,432.65
280303,CRISPY PRAWNS,266,1133,335,1424
280525,KIDS SPAG BOL,200,500,291,727.5
280587,8 MINI DOUGHNUT,9,31.5,34,119
280662,TREACLE TART,54,162,145,435
280761,TRIM MANGE TOUT,24,42,36,63
280976,ATLANTIC PRAWNS,85,341,165,661.5
281096,SUPER CRRT SOUP,36,90.1,68,170
281966,GBF STRAWBERRY,1,3,2,5.6
283083,KIDS COTTGE PIE,142,356.4,302,755
283199,FENNEL,44,52.8,71,85.2
283212,ORG GARLIC,10,7.5,12,9
283496,CAUL/BROC/CARR,1117,2237,1149,2301
283809,BEEF BLACKBEAN,292,1241.75,473,2015.75
283991,COFFEE/WNUT CK,1,2.8,3,8.4
284066,BEEF DINNER X1,954,2579,840,2270.7
284226,BEEF YORKSHIRE,434,1432.2,639,2108.9
284721,2 JAM PUDDINGS,3,6,0,0
284905,SPATCHCOCK 850G,22,132,77,462
286299,BAT HAD FINGERS,50,200,263,1052
286503,FUDGE CAKE,5,14.2,2,5.6
286787,DUCK AND PORT P,0,0,4,20
286817,ROASTED MUSHROO,28,49,35,61.25
286855,CHICKEN & BACON,9,18,12,24
286879,5 RAISIN BAGELS,2,3.2,5,8
286985,E MED COOL BAG,1,0.8,0,0
286992,DUCK PARFAIT,13,39,18,54
287104,RIB OF BEEF,3,121.89,17,643.9
287463,MED SHEPHRD PIE,525,1313.9,580,1450
289832,LGE TENDERSTEM,19,47.5,38,95
290609,*CHICK/BAC/SC,1,3.3,1,3.8
291293,4 V YKSHIRE PUD,418,418,481,481
292443,MW CHICKEN AVO,0,0,1,3.5
293150,PEA & HAM SOUP,248,620.1,435,1087.5
293228,"KING PRAWN, GAR",36,216.5,65,390.5
293525,AA CASEROLE STK,62,372,249,1494
293624,MW HAM & CHEES,5,15,8,24
293693,BEETROOT & FETA,1,3,1,3
294256,*WALNUT BREAD,2,4,0,0
294829,W/STILT & APRIC,0,0,2,5
294898,S/SALTED SPRD,5,11,5,11
295116,LASAGNE ALFORNO,142,852.25,152,912
295154,FISH PIE X2,22,176,32,256
298162,12 SB PEPPERONI,423,1695.6,577,2311.3
298254,6 PLAIN PANCAKE,12,19,29,52
298292,OBE PRAWN,5,17,14,47.5
299138,DEVON SCONES,2,3.2,2,3.2
299596,OLIVE SEL 180G,9,22.5,13,32.5
299725,LIGHTER BRIE,1,1.98,2,3.84
299848,TART GT CHS ON,33,99,71,213
299947,CRUSTY WHITE,196,196,94,94
300407,ORG GLZED HAM,2,12,4,24
300438,SS BRST FLT X2,43,129,92,276
300513,WILTSHIRE HAM,0,0,1,30
300537,CHARCOAL SHOT,1,1.5,0,0
301350,*CHICK & BACON,17,53,10,31.5
301428,BEEF/ONION ROLL,5,16,4,12
302661,DIP OG HOUM,353,518.8,479,696.8
303095,CHKN LEGS X6,37,74,114,224.5
303224,BL169 WILTS HAM,0,0,1,40
303972,SALMON MEAL,752,3009,1025,4100.25
304979,UFIT VAN DRNK,16,29.2,3,5.55
305525,GBF SPINACH & R,1,2.9,3,8.4
305594,CHICKEN TZATZIK,0,0,3,9.9
305662,SWEET POTATO BI,0,0,3,9
305808,4 CHCOCHINO MFN,3,4.8,6,9.6
306270,TOAD IN HOLE,79,197.5,136,340
306690,SS DRUMS/THIGHS,244,978,484,1936
306812,LOBST THERMIDOR,8,200,49,1225
307895,ANGUS 12% LBEEF,150,600,324,1296
308441,VEGAN CLASSIC C,340,511,459,689.2
308700,PEACH & NECTARI,16,9.6,18,10.8
308717,SCALLOPS,0,0,3,27
308847,MANGO & HONEY K,32,24,42,31.5
308861,STRAWBERRY & AL,17,12.75,51,38.25
308885,APPLE & BLACKBE,5,3,12,7.2
308953,BLUEBERRY & ACA,28,21,41,31.1
308960,SUPER FRUITY 2,22,44.2,14,28.1
308977,SUPER FRUITY 2,26,52,39,78.1
309639,RAINBOW LAYER C,2,24,3,36
309837,ORG CH/NUT MSHR,18,27,52,78
309851,SWT CHILLI SCE,39,39.2,28,28
310635,BRIE & GRAPE,5,14.3,4,11.5
311021,SKNY CHOC MUFFI,11,16.5,21,31.5
311113,STICKY CHICKEN,221,885.25,343,1377.15
311304,DIP R PEP HOUM,80,128.1,172,275.2
312394,CHKN BCN & MSHM,775,2712.5,950,3325
312547,CRN BEEF XLN SL,154,310,156,313
312752,SPR SMTH DEFENC,130,326.45,171,428.75
312905,SPR SMTH PROTEI,11,27.5,33,82.5
312912,DILL,48,38.48,111,88.88
312936,SPR SMTH PROTEC,19,47.5,39,97.5
312950,SPR SMTH REVITA,67,167.7,89,223.75
313032,HP THAI GREEN C,2,5.5,7,20.25
313070,HP MEXICAN CHIC,12,33,1,2.75
313513,ORG M/PK PEPPER,7,14,5,10.1
313551,ITALIAN COOKED,0,0,14,140
313643,ULTIMATE MASH,1370,3288,1217,2921.5
313797,SPINACH GRATIN,102,285.6,200,560.1
313872,HP CHKN TOM BAC,0,0,2,8
313957,POTATO SKINS,61,183.2,198,594.2
314121,BRIT WHT MUSHR,657,656.79,722,720.74
314817,ORG EGG V/LG X6,16,44.8,10,28
315357,GBF MOZZ TOM SL,0,0,1,2.5
315456,COATED CHICKEN,2,9,1,4.5
315746,SC LAMB MINT,0,0,2,40
315821,SC CHUNKY CHILL,7,42,25,150
315838,8 IRISH THICK S,163,326,321,642
315845,8 REDUCED FAT P,129,258,254,508
315876,SC Lamb Jalfrez,2,12,6,36
315890,SC BEEF ALE,5,30,18,108
316088,SGL RUNNER BEAN,609,487.2,516,412.8
316378,SPEC LEG STKS,12,83.91,97,661.94
317214,DI FRITES,0,0,0,0
317436,GBF YOUNG SPINA,1,2,2,4.2
317498,SPEC LOIN X4,15,100.51,75,508.27
318365,2 TOFF MERINGUE,94,160.1,76,129.3
318655,O/B PORK/APPLE,131,405.6,149,464.8
318754,NECT WHITE,43,92.5,21,43
318860,TUNA F/CAKE,41,69.7,59,100.3
319065,R/FAT COLESLAW,27,32.4,31,37.2
319249,READY TO ROAST,63,297.69,132,622.69
319805,SWEDE/CRT CUBES,144,144,192,192
319836,ROAST LAMB MEAL,4,18,10,45
319843,UFIT CHOC PR DR,2,3.7,0,0
319980,CASHEW NUT,2,6,0,0
320016,MARGHERITA PIZZ,471,2122,487,2193.5
320870,100% ORANGE JUI,1,1.3,0,0
320931,MEDJOOL DATES,4,15.2,12,45.6
321013,ORGANIC LEEKS,41,90.2,83,182.8
321266,100% ORANGE JUI,3,3.9,4,5.2
321433,MEX 3 BEAN WP,2,5.4,12,32.8
322027,JA SL RST CHK,379,1061.7,529,1484.5
322171,DIP TOM SALSA,38,56,60,87.2
322317,ORG MINI FILETS,16,89.09,34,189.52
322324,LEMON TART,63,189.4,116,348.6
322881,1L FLOR OJ BITS,3,4.9,3,4.9
323291,COU SPANISH CHK,53,159,79,237
324625,BFY CHKN KATSU,329,1318.45,467,1868.5
324632,BFY LAMB HOTPOT,219,876.5,447,1788.25
324731,SC LAMB TAGINE,3,18,7,42
324748,LARGE SLOW COOK,2,20,17,170
325585,ONION GRAVY,8,16,21,42
326452,MW CRUSTY FARMH,1,2.6,4,10.4
326957,SEASONAL GB,4,20,3,15
327244,MW 5 CHOC FUDGE,4,8,0,0
327558,MW 4 RASPBERY B,2,6,9,27
327640,MW ROCKY ROAD M,2,6.5,4,13
328364,D-I ROTISS CHKN,141,924.81,193,1277.8
328739,4PT ORG ENG WH,50,99,79,156.42
328746,2PT ORG ENG SKM,41,47.15,51,58.65
328753,4PT ORG ENG SS,142,281.16,143,283.14
328852,ULTIMATE BREAD,44,207,180,870
328876,ULTIMATE MILLIO,31,152,114,552
328890,CHERRY RED LARG,19,105.25,17,90
328906,OX TONGUE,76,208.2,154,417.6
328944,QUARK,0,0,1,1.25
329064,0% GREEK PLUM,17,10.2,21,12.6
329118,COU 0% GRK BRY,17,10.2,20,12
329163,BRITISH CHICKEN,48,360.55,69,517.23
329279,2 LOCH TROUT,74,327.35,179,789.7
329491,SOURED CREAM,105,126.6,119,143.35
330381,DI STRWBRY TRFL,199,398.25,263,567.3
330442,ULT MASH 900G,102,368,138,510
330473,ODB SHDL JNT,7,64.56,57,534.65
330534,BRITISH GAMMON,5,65.62,41,558.28
330572,RTR PORK LOIN,162,834.75,207,1152.37
330626,CHK RST W/ BTR,605,1744.8,684,1954.8
331500,APPLE HOT X,4,6,3,4.5
332408,CHOCOLATE MB,132,343.4,70,182
332415,CHOC/ORANGE MB,34,88.5,31,80.9
333382,GRTD MED CHDR,1,2,0,0
333429,CHOC PARTY BAKE,1,6,4,24
333467,PECANS,0,0,1,2.5
333665,WTRMLN FINGERS,0,0,1,4
334730,PORK SAUSAGEMT,2,4,20,40
334761,6 PORK MAPLE,303,757.5,280,700
334808,8 CHICKEN & CAR,69,207,107,321
334846,ODB DICED PORK,19,49,52,134
334853,CRAB WHITE,77,539,125,875.25
334914,6 PORK CHIPOLAT,138,414,187,561
334952,6 SPICY CHORIZO,113,349.2,320,993.2
334976,8 LF CHIPOLAT,181,557.4,296,922.6
335003,24 BEEF MEATBAL,66,211,105,378
335010,STEWING STEAK,39,156,96,384
335027,BEEF STFRY LGE,26,130,78,390
335034,BRIT ODB SMKD,85,319.55,113,424.6
335041,BRC & STILTON S,222,444.5,302,604.2
335072,12 ITALIAN MEAT,32,65.6,90,189.2
335089,BEEF MINCE 750G,34,170,125,625
335140,BRIT ODB UNSMKD,82,307.95,107,401.85
335423,CAMBOZOLA,63,111.15,76,134.9
336260,ARLA LACTOSMILK,11,15.4,29,40.6
336338,C/BOARD FAVS,8,48,17,102
336390,ARLA LACTO CRM,0,0,6,7.2
336406,ARLA LFMPACK 4x,6,9.5,5,7.7
336475,UNS ALMOND DRNK,1,1.7,0,0
336536,PLENISH ALMOND,0,0,1,2.5
336550,EDAM,1,2.07,2,4.24
336765,CHILLI NACHOS,41,184.5,137,616.5
336826,CHERRY KEFIR MI,4,9,20,45
336895,KEFIR MILK DRIN,4,9,17,38.25
336994,NORMANDY BRIE,32,91.25,59,168.25
337618,ALPRO SOYA ORIG,3,4.8,0,0
337977,ISEY SKYR VANL,5,6.25,1,1.25
338097,PRAWN BUCATINI,27,112,18,105
338110,PARSNIP TRAY,85,148.75,194,339.6
338370,MW S/FLWR 500G,0,0,2,1.75
338455,SUPER SMTH REVI,8,12.15,11,16.5
338486,SUPER SMTH DEFE,25,37.65,14,21
338554,SUPER SMTH PRTC,9,15.25,1,1.5
338943,CHICKEN & MUSHR,288,1152.5,433,1732.75
339469,CHKN ARRABBIATA,1118,3357,1373,4128
339551,BLOOD ORANGE,1,2.5,1,2.5
339612,WHOLE 1 LTR,5,3.9,9,7.02
339827,LAMB DINNER X1,680,1836.5,419,1131.4
340373,CARR BATONS,1352,1081.6,667,534.4
340496,HADDOCK MEAL,512,1689.6,765,2524.5
340571,BAVARIAN SMKD,6,10.02,1,1.67
340823,2 VANILLA SLICE,112,190.4,89,151.4
340908,SOFT BUTTER LGE,7,26.25,6,22.5
341042,NAT COT/CHSE,34,45.64,73,95.35
341417,2 CHUNKY COD,446,2010.05,756,3405.3
341486,PRP YNG SPINACH,279,558,359,718
342124,ORIENTAL STARTE,171,470.25,250,687.8
342506,BRITISH BUTTER,5,7.5,6,9
342728,PRAWN C/CHEESE,63,114,132,237.96
342834,P/APLE COT CHS,192,261.42,310,416.87
343268,600ML WHP CRM,3,4.8,1,1.6
343275,600ML DBL CRM,1,1.8,2,3.6
343299,CHK RST SL,514,1286.2,691,1729.9
343312,300ML ORG CRM,19,26.6,46,64.45
344005,ET DBL CRM 300,126,189.3,151,227.6
344104,ET SGL CRM 300,131,176.9,119,160.85
344210,300ML WHIP CRM,39,46.8,66,79.2
344951,RASPBERRY JELLY,40,50.05,26,32.55
344982,1/2T TS BROCC,5,10.5,3,6.3
345033,LUXURY HOT X,5,7.5,4,6.2
345521,SIGNATURE FISH,14,57.5,14,60.5
345866,MEXICAN BEEF NA,583,2335.25,1158,4641.9
345910,CREAMY BASIL CH,204,612,345,1035
345934,BEETS & FETA V,0,0,1,2
346108,COCONUT CHICKEN,237,949.25,172,688
346108,ONION BHAJ CHKN,729,2917.25,1351,5405.5
346115,CHICKEN & LEEK,127,254,183,366
346122,GAMMON IN PINEA,382,1146,669,2007
346146,MAC N CHEESE,953,3816.75,1646,6588.75
346177,HUNTERS CHICKEN,747,2242.4,762,2287.2
346573,BFY BEAN CHILLI,15,60,37,148
346573,SMKY BEAN CHILL,35,140,86,344
346580,MILD VEGETABLE,285,855,413,1239.4
346931,MW SEEDED THINS,3,5.55,4,7.4
347358,BRT APP CB SLW,15,25.6,17,28.9
347631,STICKY BBQ WING,30,56.5,103,201
347648,HOT&SPICY WINGS,28,52,97,188
347655,SML GLC HRB CHK,10,45,62,279
347679,SKNLS/BNLS DRUM,26,78,66,198
347884,CORNFLAKE MB,6,15.6,3,7.8
348072,WHOLE 1PT,1,0.5,3,1.5
348188,WHOLE 2 PINTS,370,329.3,392,348.88
348232,6 SKIN PORK SAU,87,270.4,150,465.2
348294,SEMI 4 PTS,142,183.18,81,104.49
348300,SEMI 1PT,6,2.95,8,3.9
348393,TMD -SYRUP SPON,9,18,11,22
348409,SKIM 1PT,3,1.5,0,0
348416,TMD - JAM SPONG,6,12,2,4
348423,RF RED HOUMOUS,118,189.2,151,241.8
348430,SWT HOUMOUS,66,105.6,102,163.2
348447,FR QUAIL EGGS,1,3,6,18
348478,NACHO CHSE DIP,24,35.6,72,107
348706,MW CH &MSH C/B,119,238,131,262
348737,WHOLE 4 PTS,223,287.67,262,337.98
348843,SEMI 2 PTS,571,508.19,360,320.4
349109,SKIM 2 PTS,379,337.31,345,307.05
350211,C&S CRUSH 300G,982,2356.8,762,1828.8
350549,P&M STIL/CRAN,1,0.5,0,0
351416,CHK CAESAR WP,24,75,9,28
351447,THE CLUB,1,3,1,3.25
352246,PORK GRAVY,3,4.5,17,25.5
352574,FALAFEL,229,573.1,471,1180
352666,2 CHUNKY HADDOC,44,198,98,441
352758,CLOTTED CREAM,69,104,99,148.5
352888,CHOW MEIN SAUCE,5,5,17,17
352918,TH GRN CUR SC,0,0,3,3
352956,PAD THAI SAUCE,2,2,3,3
353113,CHINESE ST CURR,6,6,5,5
353236,THAI STYLE SF,222,555.3,330,825.2
353274,JAPANESE STL SF,59,147.7,99,247.6
353397,CHEESE & GARLIC,417,1671,481,1925.5
353441,WATER CHSNT SF,437,875,558,1116.6
353557,H/C SAUSAGE ROL,58,174,136,408
353779,RED ONION ROLLS,26,70.92,84,235.64
353793,C MINI SELECTIO,6,20,12,39
353991,RTR TURKEY 4-5,58,565,133,1297.5
354134,BACON ROLLS,93,279,205,615
354240,PICKLE ROLLS,67,171.92,128,335.84
354257,4 BACON ROLLS,37,101,71,195.36
354288,CHEDDAR ROLLS,94,282,207,621
354301,2 CHSE ROLLS,44,88,104,208
354318,CHORIZO QUICHE,35,112.5,104,341
354332,SPEC QUICHE,42,135.5,118,395
354349,2 LEEK & CHEESE,0,0,3,9.9
354370,BARBERS VINTAGE,35,114.5,67,225.5
354585,2 CHIMICHURRI B,155,723.25,223,888.25
354622,OBE STEAK PIE,419,2514,549,3294
354776,UFIT VAN DRNK,0,0,1,2
355766,JA CHGRL CHK,413,1157.8,586,1645.2
356398,1L APPLE/MANGO,1,1.8,7,12.1
356565,IBERG LETTUCE N,4,2.4,0,0
356619,WH CUCUMBER N,7,4.2,0,0
356640,BRITISH WH CB N,6,4.8,0,0
356800,CAULIFLOWER N,11,11,0,0
356831,AVOCADO TWIN PK,23,50.6,2,4.4
357968,WHOLE CELERY N,35,21,3,1.8
358651,SML SHEPHRD PIE,313,626,320,640
358910,S.SOFT MED.,13,14.95,14,16.1
358965,CHICKEN FAJITA,72,216,178,534
358989,FINE BEANS STD,241,423.5,279,514.5
359009,CHN CHCK STR FY,171,513,307,921
359023,TIKKA MASALA,76,228,162,486
359245,ORG ROSA 375G,9,22.5,8,20
359726,ORGANIC ROCKET,1,1.3,2,2.6
359733,CHEESE TOMATO R,0,0,0,0
360456,NO MEAT M.BALL,122,366,252,756.4
360463,NO PORK SOYS,71,213.6,141,423.6
360470,NO BEEF BURGER,197,591.8,365,1095.8
360487,ROASTED MUSHROO,371,1114.2,596,1790.1
360517,PK TERIYAKI TOF,89,311.7,161,563.5
360616,PK GREEN THAI C,302,1057.3,509,1783.8
360630,PK MAC N CHEESE,206,618,353,1059
360647,PK DIRTY FRIES,236,708.4,374,1123.6
360654,PK SPAG BOLOG,260,780.4,540,1621.4
360692,PK CAULIF POPC,880,2641.7,1081,3247
360708,PK SWT P KATSU,196,686,331,1160.8
360906,PK MARGHERITA P,241,843.8,515,1802.8
360913,PK BBQ JF PIZZA,77,269.5,192,672
360944,PK MUSHROOM PIE,20,40,83,166
361330,PATE BRUS,3,2.55,4,3.4
361446,PK LASAGNE,247,741.6,478,1436.9
361514,PK ASIAN SUPERG,82,246,220,660
361521,PK MEXICAN SGRN,196,588,408,1224
361576,2 CARAMEL ECLAI,43,73.4,61,103.7
361651,2 JAM AND CREAM,14,23.8,16,27.2
361682,2 CUSTARD DOUGH,40,68,58,98.6
361729,MILLIONAIRE SHO,139,349,144,360
361873,DM MILLIONAIRE,18,72,21,84
361965,AA FILLET STK,9,131.84,33,486.04
362009,AA RUMP STEAK,12,82.26,58,425.64
362016,CHCKN/MSHRM SLC,292,730.3,277,692.65
362122,RASP STD,75,155,54,113
362542,ASP SPEARS,82,164.18,127,254
363273,DI STK ON PIE,52,312,61,366
364317,FLAPJACK MB,100,261.4,58,150.9
364515,POMEGRANATE,7,21,8,24
365130,SEABASS FILLETS,1,10,2,20
365208,F/FAT S/CHSE,0,0,1,1.2
365239,WELSH WHL 1PT,6,3,0,0
365246,WELSH WHL 2PTS,30,26.7,15,13.35
365253,WELSH WHL 4PTS,7,9.03,6,7.74
365260,WELSH SEMI 1PT,11,5.5,12,6
365277,WELSH SEMI 2PT,38,33.82,19,16.91
365284,WELSH SEMI 4PTS,5,6.45,5,6.45
365314,WELSH SKIM 1PT,1,0.5,2,1
365321,WELSH SKIM 2PT,19,16.91,17,15.13
365338,WELSH SKIM 4PTS,10,12.9,8,10.32
366090,CHSE SAUCE,40,93.5,74,205
366571,GRATED MOZZ,1,2.4,2,4.8
366779,TRIPLE CHOCOLAT,5,17.5,15,52.5
366861,CHOC MILK,1,1.4,8,11.2
367356,TERIYAKI BEEF,37,148,108,432
367493,SWT & SOUR PORK,8,32,52,208
367622,APPLE JAZZ X4,1,2.3,5,11.5
368605,2 B&B PUDDINGS,409,820.4,379,758
368735,L/MERINGUE PIE,23,80.5,66,231
369220,SAUSAGE PENNE,659,1980.5,875,2628.39
369596,SWEET POTS,115,136.6,169,204.4
369602,PK FISHLESS FCA,69,207,124,372.4
369701,DIP 4 CLAS SEL,35,87.5,74,185
369848,TARKA DAHL,197,443.5,327,736.1
369985,PAK CHOI,21,31.5,46,69
370448,APPLE & RASPBER,2,3,0,0
370554,SALMON BAG,541,5954,810,8911.5
371636,BEEF HOTPOT X1,440,880,434,868
371827,BONE MELT,0,0,1,4
373739,CRMY CAMEMBERT,1,1.3,10,13
373913,WILT HAM RST,97,286.8,145,420
373982,TALEGGIO,0,0,2,6
374545,RST HAM BRD MIN,12,56.25,15,68.8
374552,SWEETCURE HAM,0,0,4,45
374576,TENDERSTEM ROY,30,60,49,98
374606,RHUB CRUMBLE,142,426,223,669
374613,0% GRK HONEY,19,28.5,30,45
374781,24 C/TAIL SAUS,1,2.4,16,38.4
374996,2 FRUIT T/CAKES,4,4,1,1
375085,PIRI PIRI PRAWN,17,85,58,290
375757,BRD COD & CHIPS,28,98,79,276.5
375788,BRD HAD & CHIPS,63,220.5,200,700
376419,SUMMER MACAROON,3,12.5,4,20
376624,PSSN FRUIT CK,2,5.6,2,5.6
377164,EW CUSTARD 750G,0,0,1,1.1
377171,COU CAJUN CHCKN,126,378,154,462
377331,PEACH ICED TEA,0,0,2,3.6
378154,HOT SMKD SLICE,50,250,140,700
378161,DI ROASTED MUSH,25,150.25,34,204
378482,BCN&PRMSN PAST,690,2077.6,846,2546.7
378932,BAG FOR LIFE,7,0.7,0,0
380034,*CHICK & STUFF,2,5,3,7.5
380904,SMKD PORK BELLY,8,36,15,67.75
380928,MOROCCAN LAMB,2,11,7,38.5
381604,AFTERNOON TEA P,56,168,80,240
381611,WHISKY SAUCE,1,1,4,4
382540,CHEESE & TOMATO,68,149.6,45,101.4
382564,PEPPERONI,76,167.2,101,222.2
382595,HAM & PINEAPPLE,5,11,15,33
382762,SINGLE PEPPER N,6,3.6,0,0
382861,RADISH N,0,0,0,0
382953,SLICING TOMS N,1,1,0,0
383080,EGG NOODLES,1326,1327.6,1045,1046.3
383240,NEW POTS LS N.,35,87.5,0,0
383264,CHKN RST WHOLE,53,318,189,1134
383455,TRKEY RST SL,202,505,306,765
383530,2 BREADED COD,44,132.2,146,438
384070,AIOLI,0,0,3,5.4
384445,BCH SALAD ON N,2,1.2,0,0
384667,LSE ESY PEEL N,9,27,0,0
384964,ALPRO YOGURT,1,1.6,5,8
385251,20 SNK PK,71,177.5,169,422.5
385305,PORK MEDALLNS,49,147.2,130,390
385343,LAC FREE CHEDD,2,5,0,0
385541,K PRWN DRESSED,426,1386.9,458,1489.4
385596,TUNA W/ BN & ON,28,91,55,178.75
385794,H/F GRTD CHSE,6,6.3,0,0
385800,PK RST AUBERGIN,72,252,198,693
385862,BEEF OLIVES,0,0,16,64
385923,FTO 20 CHURROS,0,0,1,8
386197,TORTILLA MZ TOM,15,45,28,84
386289,JA CHRZ CRISPS,1,2.8,4,11.2
386395,SPECK,3,15,5,25
386401,MUSSELS COOKED,26,39,110,165.2
386425,IT ROLLITO 10,1,3.25,0,0
386586,PROSCIUTTO COTT,2,10,8,40
386753,DNKY CHS O RL,60,144,195,469.5
386821,CHK CHINA WINGS,54,110,128,261.5
386838,CHK HS WINGS,100,202.5,221,447
386890,DNKY PASTIES 6,23,56.5,66,157.5
386982,MW CHS ON RL,166,498,313,939.6
387002,MW DKNY SAUS RL,176,529.4,383,1150.2
387019,MW TART BAC CHS,66,198,112,336
387033,CAMEMBERT,5,15,15,45
387118,COQUILLE ST JAC,100,600,214,1284
387347,BREAKFAST PACK,2,6.5,16,51.5
387378,STK LORNE SAUG,19,41.8,33,72.6
389006,RYE SOURDOUGH,1,2,0,0
389051,2 JACKET POTS,253,253,229,229
389655,SML COTTAGE PIE,650,1302.4,581,1162.8
389730,FTO TRKY BRST,1,8,0,0
389761,MED COTTAGE PIE,459,1147.7,565,1412.5
389877,ROSA VINE HT,0,0,0,0
390545,DIP VEL HOUM,31,49.6,54,86.4
390811,1L PIN/PCH/PAS,2,3.1,15,25.5
390903,TGR PRAWN & DIP,67,338,138,715.5
391030,SEAFOOD PLATTER,21,315,116,1740
391191,ST AGUR,4,9,4,9
391405,RUMP PEPPERCORN,3,30,7,70
391573,MASHED POTATO,117,175.7,78,117
391634,SIMPLY APPLE BG,1,0.8,0,0
391733,CHICKEN KIEV X2,134,351.9,183,499.5
392020,ORANGE MELON,2,4,1,2
392167,MED PITTA,4,4,3,3
392464,CHURROS W CHOC,10,40,38,152.25
392549,LG POT SALAD,3,6.6,2,4.4
392587,FTO GF PARTY SE,0,0,1,30
392655,ROAST POTS LRG,47,143,66,202
392839,LGE STRW TRIFLE,48,140.5,174,504
392891,KIDS MEATY PSTA,168,420.1,292,731.7
392990,OLIVE ROLLS,2,3,7,10.75
393027,8 MERINGUES,0,0,0,0
393249,ORG TENDERSTEM,42,105,96,240
393676,OYSTER MUSHROOM,3,4.5,5,7.5
393720,KG OYSTER MUSHR,4,6,15,22.5
395380,2 CHOC ECLAIRS,225,382.8,136,231.5
395687,SAUS RL LRG 6,211,422.1,335,670.1
395694,SAUS ROLL 6,63,94.5,137,205.5
395700,SAUS RL 12,327,655.2,371,742.6
395724,C/T SAUS RL 20,217,514.5,316,742.6
396516,BF CANNELLONI,563,1689,904,2712
396905,BABY N POT LPBV,38,95,45,112.5
397094,BABY CARR LPBV,46,115,48,120.2
397476,FC MONKFISH,4,44.56,11,120.31
397483,SARDINES,40,132.7,99,328.56
397537,SPECIALITY HAM,7,28.5,6,24
397704,CSLAW POT SLD,21,46.2,34,74.8
398008,WAFER HAM,21,84,27,108
398060,SPLTY RSTD HAM,18,72,27,108
398190,C/T BLINIS,41,102.6,148,370.1
398299,OLIVE SEL 300G,5,16.25,9,29.45
398428,FTO INDIAN SELN,0,0,1,10
398503,FTO RST DRUMS,2,20,1,10
398787,AUB GRAINS SU,11,24.2,12,26.4
399135,DIP TZATZIKI,22,32.2,80,117.4
399142,DI SWEET CR SLD,33,82.5,25,62.5
399401,HAM RST W/ POM,5,15,11,33
399418,BF RST W/ GRLC,54,151.2,102,283.2
399500,MOZZ SUNDE SLD,2,8,5,20
399807,CHCKN CASSEROLE,475,1567.5,658,2171.4
399968,CHOC FLPJK MB,7,18.6,0,0
400374,SMKD HADDOCK FL,384,1725,639,2859.5
400596,RST AUB TOM BAK,70,280,161,644
400879,DI RST AUB TOM,24,102.46,27,133
402996,KIDS CHKN CURRY,146,365,363,908.9
403771,SKIM 4 PTS,65,83.85,95,122.55
403818,ORG THIGH/DRUMS,127,544.1,202,863.96
404068,12 WF POLLO ARB,43,256,101,588
404068,WF PIZA CHK ARB,102,510,88,440
404358,RTR CHICKEN 2-3,544,3264,642,3852
404426,GRANOLA/YOG MB,4,10.4,0,0
404471,8 MINI LEMN MFN,4,6.4,6,9.6
404631,"NEC,GRPS & RSB",15,45.2,12,36
405799,SUPERSOFT THICK,10,11.2,9,9.9
406895,2 APPLE CRUMBLE,657,1314.1,612,1225.2
406901,2 RHUBARB CRUMB,551,1102,528,1057.2
406918,2 CHOCLATE MITM,31,99.2,45,144.2
406925,2 EVES PUDDINGS,599,1198,556,1112
407533,ROSE WHT/YLW,1,4.5,0,0
408271,SGL PEAS,550,440,430,344
409728,BTR CHKN &PILAU,46,161,91,318.5
409780,PINK LADY BAG,27,67.5,20,50
410083,LG PK BEETROOT,9,13,14,20
410519,BRRY CHSCK S,30,82.5,79,217.25
410861,IRL SMK X/THK B,0,0,1,2.5
410885,COU CHCKN/WINE,610,1830,800,2400
410908,IRL SMK CRISPY,0,0,1,3.6
411202,THYME,117,93.64,179,143.2
411479,CRMY LANCS,0,0,3,5.1
412216,SIMPLY PEAR BAG,8,12,8,12
412797,CHKN YORKSHIRE,143,471.9,244,805.2
412858,6 BEETROOT WRAP,3,3.75,6,7.5
412872,6 SPINACH WRAPS,1,1.25,3,4.05
415002,LMN DRBBLE CK,1,15,0,0
415033,SERRANO HAM,0,0,4,8
415217,RAINBOW UNICORN,1,12,2,24
415231,CHOC GIFT CK,2,8,1,4
415248,GIFT CAKE,5,20,4,16
415378,CHCKN DINNER X1,769,2077,507,1369.3
415620,PRP CABBGE GRNS,794,992.5,1015,1270.7
416078,2 PLAICE FLTS,33,115.89,78,265.67
416085,LEMON SOLE FLTS,147,637.27,213,925.44
416214,CHIPOLATA,25,56.75,70,159.14
416269,O/B SUPREME,555,1694.5,533,1645.2
416429,PRP SPROUTS,679,1358.2,581,1165.3
416696,1L OJ SMOOTH,1,1.3,0,0
416986,COU CHK RISOTTO,285,855,407,1221
417440,BEEF ROASTING J,240,1440,437,2622
417884,AGUS 5% XL BEEF,324,1458,469,2110.5
418355,LAMB ROASTING J,162,1134,306,2142
419543,SHANGHAI NOODLE,298,1267.25,411,1747.25
419598,5 RASPBRRY BUNS,5,6.25,3,3.75
421102,WILT HAM W/T SL,235,705,335,1006.4
421287,SALAMI SEL,3,9,10,30
